	Expected time	p^*
Expected Time General	126704.8536767145	All
1	16309.331810959726	1
2	24460.779066372037	1
3	29893.71793190938	1
4	33967.40254575383	1
5	37225.53457824848	1
6	39939.964864542824	1
7	42266.03673898793	1
8	44300.83978553618	1
9	46109.10039347446	1
10	47736.127035289486	1
11	49214.871327322864	1
12	50570.04698181966	1
13	51820.66454664991	1
14	52981.6608808446	1
15	54064.98547161879	1
16	55080.347277326735	1
17	56035.74191072253	1
18	56937.8323824272	1
19	57792.229648745175	1
20	58603.70302252885	1
21	59376.34048621677	1
22	60113.67257008923	1
23	60818.76930047236	1
24	61494.31695039493	1
25	62142.6794401166	1
26	62765.94792986207	1
27	63365.98122871458	1
28	63944.4389876365	1
29	64502.80916955441	1
30	65042.43094109799	1
31	65564.51387212136	1
32	66070.15413530062	1
33	66560.34825124638	1
34	67036.00481227561	1
35	67497.95453135956	1
36	67946.95889538525	1
37	68383.71764905564	1
38	68808.87529406683	1
39	69223.02675505777	1
40	69626.72233731617	1
41	70020.47207988561	1
42	70404.74959044614	1
43	70779.99543427794	1
44	71146.62013811625	1
45	71505.00686024426	1
46	71855.5137703581	1
47	72198.47617625534	1
48	72534.20842899363	1
49	72863.00563364409	1
50	73185.14518897084	1
51	73500.88817616113	1
52	73810.4806140227	1
53	74114.15459576806	1
54	74412.12932053972	1
55	74704.61203116037	1
56	74991.7988681563	1
57	75273.87564886558	1
58	75551.01857938203	1
59	75823.39490616546	1
60	76091.16351334978	1
61	76354.4754710931	1
62	76613.47453970478	1
63	76868.29763376275	1
64	77119.07524997156	1
65	77365.93186210917	1
66	77608.98628605195	1
67	77848.35201756029	1
68	78084.1375452265	1
69	78316.44664074556	1
70	78545.37862845194	1
71	78771.02863587519	1
72	78993.48782689558	1
73	79212.84361893072	1
74	79429.17988544672	1
75	79642.57714496911	1
76	79853.11273765861	1
77	80060.86099042099	1
78	80265.89337143285	1
79	80468.27863488781	1
80	80668.08295669503	1
81	80865.37006180249	1
82	81060.20134375563	1
83	81252.63597705435	1
84	81442.73102282167	1
85	81630.54152825697	1
86	81816.12062030661	1
87	81999.51959395182	1
88	82180.78799547923	1
89	82359.97370107441	1
90	82537.12299104844	1
91	82712.28061998593	1
92	82885.48988308152	1
93	83056.79267890894	1
94	83226.22956885172	1
95	83393.83983340593	1
96	83559.66152555075	1
97	83723.73152136733	1
98	83886.08556807588	1
99	84046.75832964569	1
100	84205.78343012542	1
101	84363.19349482832	1
102	84519.02018949803	1
103	84673.29425757339	1
104	84826.04555566185	1
105	84977.30308732355	1
106	85127.09503526145	1
107	85275.44879200804	1
108	85422.39098919071	1
109	85567.94752545473	1
110	85712.14359311729	1
111	85855.00370362077	1
112	85996.55171184972	1
113	86136.81083937158	1
114	86275.80369665884	1
115	86413.55230434408	1
116	86550.0781135594	1
117	86685.4020254065	1
118	86819.54440960189	1
119	86952.52512233838	1
120	87084.36352340288	1
121	87215.07849258598	1
122	87344.68844541999	1
123	87473.21134827667	1
124	87600.66473285611	1
125	87727.06571009634	1
126	87852.43098353081	1
127	87976.7768621202	1
128	88100.1192725826	1
129	88222.47377124608	1
130	88343.85555544538	1
131	88464.27947448324	1
132	88583.76004017722	1
133	88702.31143700944	1
134	88819.94753189769	1
135	88936.68188360492	1
136	89052.5277518025	1
137	89167.49810580282	1
138	89281.60563297564	1
139	89394.86274686144	1
140	89507.28159499496	1
141	89618.87406645181	1
142	89729.65179912862	1
143	89839.62618676924	1
144	89948.80838574682	1
145	90057.20932161182	1
146	90164.83969541601	1
147	90271.70998982115	1
148	90377.83047500157	1
149	90483.2112143485	1
150	90587.86206998423	1
151	90691.79270809374	1
152	90795.01260408093	1
153	90897.53104755649	1
154	90999.35714716355	1
155	91100.49983524789	1
156	91200.96787237827	1
157	91300.76985172303	1
158	91399.91420328809	1
159	91498.40919802155	1
160	91596.26295179025	1
161	91693.48342923266	1
162	91790.07844749291	1
163	91886.0556798403	1
164	91981.42265917834	1
165	92076.18678144776	1
166	92170.35530892664	1
167	92263.93537343202	1
168	92356.93397942603	1
