	Expected time	p^*
Expected Time General	212477.8614822403	All
1	25823.318217519496	1
2	38731.758811916836	1
3	47336.026630515255	1
4	53788.20802540128	1
5	58949.13754693234	1
6	63249.23247027657	1
7	66934.44552409601	1
8	70158.49716379626	1
9	73023.86769297326	1
10	75602.29332414256	1
11	77945.945848218	1
12	80093.95410838081	1
13	82076.4172147646	1
14	83916.98446818675	1
15	85634.57530929577	1
16	87244.56178361671	1
17	88759.60322275503	1
18	90190.24906971045	1
19	91545.3830659559	1
20	92832.5563917388	1
21	94058.24148727054	1
22	95228.02818727498	1
23	96346.77721759673	1
24	97418.74171334707	1
25	98447.664433424	1
26	99436.85627992553	1
27	100389.26027693694	1
28	101307.50412453337	1
29	102193.94369174386	1
30	103050.69926069521	1
31	103879.6859249178	1
32	104682.63923792217	1
33	105461.13697562592	1
34	106216.61769842166	1
35	106950.39666152518	1
36	107663.67951554898	1
37	108357.57415564827	1
38	109033.10101157098	1
39	109691.20201846685	1
40	110332.74846634803	1
41	110958.54789229836	1
42	111569.3501521787	1
43	112165.85278632467	1
44	112748.70577550208	1
45	113318.51576842365	1
46	113875.8498497553	1
47	114421.23890726751	1
48	114955.18064824471	1
49	115478.14230809514	1
50	115990.56308810119	1
51	116492.85635417527	1
52	116985.4116241948	1
53	117468.59636785438	1
54	117942.75763986463	1
55	118408.2235646781	1
56	118865.30468865113	1
57	119314.2952135938	1
58	119755.47412397953	1
59	120189.10621863043	1
60	120615.44305642635	1
61	121034.72382449824	1
62	121447.17613640455	1
63	121853.01676696248	1
64	122252.45232966875	1
65	122645.6799020119	1
66	123032.88760341104	1
67	123414.25513002815	1
68	123789.95425025157	1
69	124160.14926427827	1
70	124524.99743086757	1
71	124884.64936404128	1
72	125239.24940223641	1
73	125588.93595217289	1
74	125933.8418094863	1
75	126274.09445798626	1
76	126609.81634922564	1
77	126941.12516391689	1
78	127268.13405659096	1
79	127590.95188477013	1
80	127909.6834238188	1
81	128224.4295685317	1
82	128535.2875224304	1
83	128842.3509756546	1
84	129145.71027226758	1
85	129445.45256771773	1
86	129741.66197714656	1
87	130034.4197151723	1
88	130323.80422773295	1
89	130609.89131652037	1
90	130892.75425650291	1
91	131172.46390698978	1
92	131449.08881666017	1
93	131722.6953229449	1
94	131993.34764612207	1
95	132261.1079784602	1
96	132526.0365687192	1
97	132788.19180229426	1
98	133047.63027727208	1
99	133304.4068766454	1
100	133558.57483691658	1
101	133810.18581330476	1
102	134059.28994175806	1
103	134305.93589795308	1
104	134550.17095345995	1
105	134792.0410292321	1
106	135031.59074657268	1
107	135268.86347572002	1
108	135503.90138218246	1
109	135736.74547094954	1
110	135967.43562869227	1
111	136196.01066406336	1
112	136422.50834619734	1
113	136646.9654415075	1
114	136869.41774886963	1
115	137089.9001332753	1
116	137308.44655803507	1
117	137525.0901156042	1
118	137739.8630571045	1
119	137952.7968206035	1
120	138163.92205821644	1
121	138373.2686620885	1
122	138580.86578931153	1
123	138786.7418858282	1
124	138990.92470937257	1
125	139193.44135149242	1
126	139394.31825869856	1
127	139593.5812527801	1
128	139791.2555503279	1
129	139987.3657814999	1
130	140181.93600806533	1
131	140374.98974076004	1
132	140566.54995598434	1
133	140756.63911187378	1
134	140945.27916376927	1
135	141132.49157911478	1
136	141318.297351807	1
137	141502.71701602224	1
138	141685.77065954113	1
139	141867.47793659454	1
140	142047.8580802509	1
141	142226.92991436398	1
142	142404.7118650998	1
143	142581.22197206152	1
144	142756.47789902647	1
145	142930.49694431428	1
146	143103.29605079922	1
147	143274.89181558206	1
148	143445.30049933554	1
149	143614.5380353358	1
150	143782.62003819324	1
151	143949.56181229372	1
152	144115.37835996237	1
153	144280.08438936083	1
154	144443.6943221275	1
155	144606.22230077226	1
156	144767.6821958329	1
157	144928.08761280487	1
158	145087.45189885102	1
159	145245.78814930056	1
160	145403.10921394476	1
161	145559.4277031375	1
162	145714.75599370725	1
163	145869.10623468776	1
164	146022.4903528739	1
165	146174.92005820942	1
166	146326.4068490121	1
167	146476.96201704285	1
168	146626.59665242347	1
169	146775.32164840944	1
170	146923.147706022	1
171	147070.08533854468	1
172	147216.14487588964	1
173	147361.33646883702	1
174	147505.6700931533	1
175	147649.1555535914	1
176	147791.80248777755	1
177	147933.62036998777	1
178	148074.6185148192	1
179	148214.80608075781	1
180	148354.192073648	1
181	148492.7853500657	1
182	148630.59462059883	1
183	148767.62845303828	1
184	148903.89527548288	1
185	149039.40337935876	1
186	149174.16092235938	1
187	149308.17593130554	1
188	149441.4563049303	1
189	149574.00981658942	1
190	149705.84411690145	1
191	149836.9667363178	1
192	149967.3850876258	1
193	150097.10646838835	1
194	150226.13806331882	1
195	150354.4869465963	1
196	150482.1600841212	1
197	150609.16433571404	1
198	150735.50645725822	1
199	150861.19310278958	1
200	150986.23082653273	1
201	151110.626084888	1
202	151234.38523836838	1
203	151357.51455348823	1
204	151480.0202046076	1
205	151601.90827572934	1
206	151723.18476225433	1
207	151843.85557269328	1
208	151963.9265303374	1
209	152083.40337488955	1
210	152202.29176405715	1
211	152320.59727510545	1
212	152438.3254063762	1
213	152555.4815787689	1
214	152672.07113718952	1
215	152788.099351963	1
216	152903.57142021522	1
217	153018.49246722253	1
218	153132.8675477292	1
219	153246.70164723616	1
220	153359.99968326007	1
221	153472.7665065638	1
222	153585.00690235867	1
223	153696.72559148117	1
224	153807.9272315416	1
225	153918.6164180488	1
226	154028.79768550873	1
227	154138.47550849983	1
228	154247.6543027244	1
229	154356.33842603644	1
230	154464.53217944823	1
231	154572.23980811465	1
232	154679.4655022959	1
233	154786.2133983002	1
234	154892.4875794055	1
235	154998.2920767631	1
236	155103.63087027997	1
237	155208.50788948484	1
238	155312.92701437377	1
239	155416.89207623998	1
240	155520.4068584851	1
241	155623.47509741434	1
242	155726.1004830148	1
243	155828.28665971765	1
244	155930.0372271455	1
245	156031.35574084363	1
246	156132.24571299664	1
247	156232.71061313088	1
248	156332.75386880213	1
249	156432.37886627042	1
250	156531.5889511599	1
251	156630.3874291075	1
